"","YearEnd","LocationDesc","Question","Data_Value","Age(years)"
"167",2018,"Colorado","Percent of adults aged 18 years and older who have obesity",29.2,"45 - 54"
"168",2018,"Wyoming","Percent of adults who engage in no leisure-time physical activity",27.5,"55 - 64"
"169",2018,"Minnesota","Percent of adults who engage in no leisure-time physical activity",16.4,"25 - 34"
"170",2018,"Washington","Percent of adults who engage in no leisure-time physical activity",18.9,"45 - 54"
"171",2018,"West Virginia","Percent of adults who engage in no leisure-time physical activity",33.9,"45 - 54"
"172",2018,"Illinois","Percent of adults aged 18 years and older who have obesity",36.3,"55 - 64"
"173",2018,"New Hampshire","Percent of adults aged 18 years and older who have obesity",29.9,"55 - 64"
"174",2018,"Alaska","Percent of adults aged 18 years and older who have obesity",29.8,"35 - 44"
"175",2018,"North Dakota","Percent of adults aged 18 years and older who have obesity",35.7,"25 - 34"
"176",2018,"Pennsylvania","Percent of adults aged 18 years and older who have obesity",16.1,"18 - 24"
"177",2018,"Vermont","Percent of adults aged 18 years and older who have an overweight classification",35.9,"65 or older"
"178",2018,"Louisiana","Percent of adults aged 18 years and older who have obesity",27.9,"18 - 24"
"179",2018,"Washington","Percent of adults aged 18 years and older who have an overweight classification",30.2,"25 - 34"
"180",2018,"Tennessee","Percent of adults aged 18 years and older who have obesity",39.2,"55 - 64"
"181",2018,"Rhode Island","Percent of adults aged 18 years and older who have an overweight classification",39.8,"35 - 44"
"182",2018,"Hawaii","Percent of adults who engage in no leisure-time physical activity",24.9,"65 or older"
"183",2018,"Alaska","Percent of adults aged 18 years and older who have an overweight classification",37.2,"35 - 44"
"184",2018,"Colorado","Percent of adults aged 18 years and older who have obesity",23.7,"35 - 44"
"185",2018,"Wisconsin","Percent of adults aged 18 years and older who have obesity",28.4,"65 or older"
"186",2018,"California","Percent of adults aged 18 years and older who have obesity",27.2,"35 - 44"
"187",2018,"California","Percent of adults aged 18 years and older who have an overweight classification",39.2,"35 - 44"
"188",2018,"New York","Percent of adults aged 18 years and older who have obesity",25.2,"25 - 34"
"189",2018,"Oregon","Percent of adults aged 18 years and older who have an overweight classification",38,"65 or older"
"190",2018,"Nebraska","Percent of adults aged 18 years and older who have an overweight classification",25.3,"18 - 24"
"191",2018,"Arkansas","Percent of adults aged 18 years and older who have obesity",45.7,"45 - 54"
"192",2018,"Delaware","Percent of adults aged 18 years and older who have an overweight classification",37.7,"55 - 64"
"193",2018,"Tennessee","Percent of adults aged 18 years and older who have an overweight classification",29.5,"35 - 44"
"194",2018,"Vermont","Percent of adults aged 18 years and older who have an overweight classification",22.7,"18 - 24"
"195",2018,"Connecticut","Percent of adults aged 18 years and older who have obesity",30.4,"35 - 44"
"196",2018,"Alabama","Percent of adults aged 18 years and older who have obesity",31.8,"65 or older"
"197",2018,"Georgia","Percent of adults aged 18 years and older who have an overweight classification",37.2,"35 - 44"
"198",2018,"Kentucky","Percent of adults aged 18 years and older who have obesity",42.4,"55 - 64"
"199",2018,"South Dakota","Percent of adults aged 18 years and older who have an overweight classification",37.3,"35 - 44"
"200",2018,"Virginia","Percent of adults who engage in no leisure-time physical activity",15.4,"25 - 34"
"201",2018,"Maryland","Percent of adults aged 18 years and older who have obesity",36.9,"35 - 44"
"202",2018,"Missouri","Percent of adults aged 18 years and older who have an overweight classification",21.5,"18 - 24"
"203",2018,"South Carolina","Percent of adults aged 18 years and older who have an overweight classification",34.1,"45 - 54"
"204",2018,"Utah","Percent of adults who engage in no leisure-time physical activity",19.6,"55 - 64"
"205",2018,"Texas","Percent of adults aged 18 years and older who have obesity",38.6,"45 - 54"
"206",2018,"Hawaii","Percent of adults aged 18 years and older who have obesity",30.3,"35 - 44"
"207",2018,"Nebraska","Percent of adults aged 18 years and older who have obesity",32.4,"65 or older"
"208",2018,"West Virginia","Percent of adults aged 18 years and older who have an overweight classification",31.1,"35 - 44"
"209",2018,"Georgia","Percent of adults who engage in no leisure-time physical activity",15.5,"18 - 24"
"210",2018,"New York","Percent of adults aged 18 years and older who have an overweight classification",36.8,"45 - 54"
"211",2018,"California","Percent of adults who engage in no leisure-time physical activity",17.7,"25 - 34"
"212",2018,"Oklahoma","Percent of adults who engage in no leisure-time physical activity",13.7,"18 - 24"
"213",2013,"Rhode Island","Percent of adults aged 18 years and older who have an overweight classification",37.5,"25 - 34"
"214",2018,"Oklahoma","Percent of adults aged 18 years and older who have an overweight classification",25.1,"18 - 24"
"215",2018,"Nevada","Percent of adults aged 18 years and older who have an overweight classification",36.4,"25 - 34"
"216",2018,"Nebraska","Percent of adults who engage in no leisure-time physical activity",17.8,"25 - 34"
"217",2018,"New Jersey","Percent of adults who engage in no leisure-time physical activity",38,"65 or older"
"218",2018,"Iowa","Percent of adults aged 18 years and older who have obesity",34.6,"25 - 34"
"219",2018,"Nebraska","Percent of adults aged 18 years and older who have obesity",20.3,"18 - 24"
"220",2018,"Illinois","Percent of adults aged 18 years and older who have obesity",27.4,"25 - 34"
"221",2018,"Georgia","Percent of adults aged 18 years and older who have obesity",36.5,"55 - 64"
"222",2018,"Virginia","Percent of adults aged 18 years and older who have obesity",15.9,"18 - 24"
"223",2018,"Massachusetts","Percent of adults aged 18 years and older who have an overweight classification",37.9,"45 - 54"
"224",2018,"Oregon","Percent of adults who engage in no leisure-time physical activity",14.6,"25 - 34"
"225",2018,"South Carolina","Percent of adults aged 18 years and older who have obesity",43.6,"45 - 54"
"226",2018,"Virginia","Percent of adults aged 18 years and older who have obesity",29.2,"65 or older"
"227",2018,"New Hampshire","Percent of adults who engage in no leisure-time physical activity",13.7,"18 - 24"
"228",2016,"Alaska","Percent of adults aged 18 years and older who have an overweight classification",35.8,"45 - 54"
"229",2016,"Wisconsin","Percent of adults aged 18 years and older who have an overweight classification",26.5,"18 - 24"
"230",2018,"Idaho","Percent of adults who engage in no leisure-time physical activity",26.7,"65 or older"
"231",2018,"Pennsylvania","Percent of adults who engage in no leisure-time physical activity",20.9,"35 - 44"
"232",2018,"Minnesota","Percent of adults aged 18 years and older who have obesity",32.5,"35 - 44"
"233",2018,"North Dakota","Percent of adults aged 18 years and older who have an overweight classification",37.6,"45 - 54"
"234",2018,"Pennsylvania","Percent of adults aged 18 years and older who have obesity",34.7,"55 - 64"
"235",2018,"New Mexico","Percent of adults aged 18 years and older who have obesity",39.7,"45 - 54"
"236",2018,"Michigan","Percent of adults aged 18 years and older who have obesity",38.9,"45 - 54"
"237",2018,"Washington","Percent of adults aged 18 years and older who have obesity",34.7,"45 - 54"
"238",2018,"Montana","Percent of adults aged 18 years and older who have an overweight classification",29.2,"18 - 24"
"239",2018,"District of Columbia","Percent of adults aged 18 years and older who have an overweight classification",22,"18 - 24"
"240",2018,"Louisiana","Percent of adults aged 18 years and older who have obesity",31.8,"65 or older"
"241",2018,"Utah","Percent of adults aged 18 years and older who have obesity",34,"45 - 54"
"242",2018,"Florida","Percent of adults aged 18 years and older who have an overweight classification",38.9,"65 or older"
"243",2018,"Missouri","Percent of adults aged 18 years and older who have obesity",41.9,"35 - 44"
"244",2018,"Iowa","Percent of adults aged 18 years and older who have an overweight classification",34.9,"45 - 54"
"245",2018,"Minnesota","Percent of adults aged 18 years and older who have an overweight classification",37.3,"35 - 44"
"246",2018,"West Virginia","Percent of adults aged 18 years and older who have obesity",43,"55 - 64"
"247",2018,"Wyoming","Percent of adults aged 18 years and older who have an overweight classification",35.4,"25 - 34"
"248",2018,"Wisconsin","Percent of adults who engage in no leisure-time physical activity",30.9,"65 or older"
"249",2014,"National","Percent of adults aged 18 years and older who have an overweight classification",25.1,"18 - 24"
"250",2018,"New Mexico","Percent of adults who engage in no leisure-time physical activity",17.4,"18 - 24"
"251",2018,"Iowa","Percent of adults who engage in no leisure-time physical activity",16.6,"18 - 24"
"252",2018,"Vermont","Percent of adults who engage in no leisure-time physical activity",12.4,"18 - 24"
"253",2018,"Vermont","Percent of adults aged 18 years and older who have obesity",33.8,"45 - 54"
"254",2018,"Montana","Percent of adults who engage in no leisure-time physical activity",15,"18 - 24"
"255",2018,"Louisiana","Percent of adults aged 18 years and older who have an overweight classification",38.8,"65 or older"
"256",2018,"Illinois","Percent of adults who engage in no leisure-time physical activity",36.9,"65 or older"
"257",2018,"Virginia","Percent of adults who engage in no leisure-time physical activity",30.3,"65 or older"
"258",2018,"Connecticut","Percent of adults who engage in no leisure-time physical activity",23.2,"55 - 64"
"259",2018,"Arkansas","Percent of adults aged 18 years and older who have an overweight classification",30.3,"35 - 44"
"260",2018,"Idaho","Percent of adults aged 18 years and older who have obesity",36.4,"45 - 54"
"261",2018,"Wisconsin","Percent of adults aged 18 years and older who have an overweight classification",38.8,"45 - 54"
"262",2018,"Indiana","Percent of adults aged 18 years and older who have an overweight classification",31.8,"25 - 34"
"263",2018,"West Virginia","Percent of adults who engage in no leisure-time physical activity",14.7,"18 - 24"
"264",2018,"Florida","Percent of adults aged 18 years and older who have obesity",39.4,"45 - 54"
"265",2018,"Louisiana","Percent of adults who engage in no leisure-time physical activity",24.7,"25 - 34"
"266",2018,"Kansas","Percent of adults aged 18 years and older who have an overweight classification",34.4,"45 - 54"
"267",2018,"New Jersey","Percent of adults aged 18 years and older who have obesity",31.7,"35 - 44"
"268",2018,"Delaware","Percent of adults aged 18 years and older who have obesity",18.4,"18 - 24"
"269",2018,"Oregon","Percent of adults aged 18 years and older who have obesity",27.9,"65 or older"
"270",2018,"Nebraska","Percent of adults who engage in no leisure-time physical activity",31.5,"65 or older"
"271",2013,"North Carolina","Percent of adults who engage in no leisure-time physical activity",17.4,"18 - 24"
"272",2018,"Maine","Percent of adults who engage in no leisure-time physical activity",19,"35 - 44"
"273",2018,"North Carolina","Percent of adults who engage in no leisure-time physical activity",24.9,"45 - 54"
"274",2018,"Missouri","Percent of adults who engage in no leisure-time physical activity",32.2,"55 - 64"
"275",2018,"Florida","Percent of adults aged 18 years and older who have an overweight classification",33.4,"25 - 34"
"276",2018,"Kentucky","Percent of adults aged 18 years and older who have an overweight classification",30.7,"18 - 24"
"277",2018,"South Carolina","Percent of adults who engage in no leisure-time physical activity",23.4,"35 - 44"
"278",2018,"New Mexico","Percent of adults aged 18 years and older who have an overweight classification",33.4,"25 - 34"
"279",2018,"Idaho","Percent of adults aged 18 years and older who have an overweight classification",41.5,"65 or older"
"280",2018,"Delaware","Percent of adults who engage in no leisure-time physical activity",30.3,"55 - 64"
"281",2018,"North Dakota","Percent of adults aged 18 years and older who have obesity",37.3,"55 - 64"
"282",2018,"Hawaii","Percent of adults aged 18 years and older who have an overweight classification",26.7,"18 - 24"
"283",2018,"New York","Percent of adults who engage in no leisure-time physical activity",31.1,"65 or older"
"284",2018,"National","Percent of adults aged 18 years and older who have obesity",28.9,"65 or older"
"285",2018,"Oklahoma","Percent of adults aged 18 years and older who have obesity",39.5,"55 - 64"
"286",2013,"National","Percent of adults aged 18 years and older who have an overweight classification",36.3,"35 - 44"
"287",2018,"Alabama","Percent of adults who engage in no leisure-time physical activity",27.4,"35 - 44"
"288",2018,"Idaho","Percent of adults who engage in no leisure-time physical activity",19,"18 - 24"
"289",2018,"District of Columbia","Percent of adults aged 18 years and older who have obesity",17.5,"18 - 24"
"290",2018,"Alaska","Percent of adults who engage in no leisure-time physical activity",18.7,"35 - 44"
"291",2018,"Alabama","Percent of adults aged 18 years and older who have an overweight classification",30.4,"25 - 34"
"292",2018,"Nevada","Percent of adults aged 18 years and older who have obesity",37.6,"45 - 54"
"293",2018,"National","Percent of adults aged 18 years and older who have an overweight classification",35.8,"35 - 44"
"294",2018,"Indiana","Percent of adults aged 18 years and older who have obesity",40.6,"45 - 54"
"295",2018,"Texas","Percent of adults aged 18 years and older who have an overweight classification",34.3,"35 - 44"
"296",2018,"Idaho","Percent of adults aged 18 years and older who have obesity",10.7,"18 - 24"
"297",2018,"Wyoming","Percent of adults aged 18 years and older who have an overweight classification",39.9,"65 or older"
"298",2018,"District of Columbia","Percent of adults who engage in no leisure-time physical activity",25,"55 - 64"
"299",2018,"Alabama","Percent of adults aged 18 years and older who have an overweight classification",38.6,"65 or older"
"300",2018,"New Hampshire","Percent of adults aged 18 years and older who have obesity",28.3,"65 or older"
"301",2018,"Wisconsin","Percent of adults aged 18 years and older who have an overweight classification",26.9,"18 - 24"
"302",2018,"Alaska","Percent of adults who engage in no leisure-time physical activity",18.2,"45 - 54"
"303",2018,"Illinois","Percent of adults who engage in no leisure-time physical activity",18.1,"25 - 34"
